data_date,individuals
12/31/17,459311
1/2/18,459363
1/25/18,460030
1/31/18,460353
2/1/18,461633
2/4/18,462083
2/8/18,460107
2/15/18,459567
2/22/18,459699
2/28/18,460102
3/31/18,460031
3/1/18,460414
3/8/18,460516
3/13/18,460802
3/15/18,460305
3/22/18,459578
3/29/18,458060
4/5/18,456837
4/7/18,448215
4/12/18,446695
4/19/18,445394
4/26/18,443694
4/30/18,444244
5/10/18,440838
5/17/18,440468
5/24/18,434897
5/31/18,434484
6/7/18,434663
6/13/18,435483
6/21/18,436525
6/24/18,436032
6/28/18,433760
6/30/18,432993
7/5/18,431191
7/12/18,429169
7/19/18,428552
7/26/18,426644
7/29/18,426905
7/31/18,427155
8/2/18,425289
8/9/18,423174
8/16/18,421244
8/29/18,415614
8/31/18,415699
9/4/18,415809
9/6/18,401658
9/13/18,400130
9/21/18,397336
9/24/18,396633
9/27/18,396458
9/30/18,396545
9/24/18,396622
10/4/18,397289
10/8/18,397353
10/9/18,397353
10/11/18,395982
10/18/18,390246
10/24/18,390407
10/25/18,376725
10/31/18,377101
11/1/18,376658
11/8/18,374553
11/12/18,374463
11/15/18,377370
11/22/18,376136
11/29/18,372466
11/30/18,372745
12/6/18,363368
12/9/18,363578
12/20/18,363145
12/27/18,362994
12/31/18,363306
1/13/18,363251
1/10/19,363357
1/13/19,363357
1/17/19,363181
1/24/19,362867
1/31/19,362888
2/7/19,362761
2/28/19,363120
3/7/19,362071
3/11/19,360687
3/14/19,360196
3/21/19,359764
3/31/19,359993
4/4/19,359122
4/9/19,355777
4/11/19,355094
